Quote,Author,Image file,Source of quote,Image link,Image credit,License type,Topic,Other links,Portrait from another page (same author)
"Nowadays, everybody assumes, when they wake up in the morning, if they have a question, it will get answered. Because they have the internet. No matter what the question is, someone will answer their question.",Jack White,dc_www_files\general_image-1087.png,Data Comms: WWW (dc_www.php),https://www.flickr.com/photos/botellitadecielo/7920936616,Photo: https://www.flickr.com/photos/botellitadecielo/7920936616,,Data Communications,,
"YouTube is, at the end of the day, a search engine... that's why Google bought it.",Jake Paul,dc_browsing_files\general_image-1310.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:Jake_Paul_on_Web_Summit_2016.jpg,"Photo by Web Summit (DSC_3766) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Cloud computing offers individuals access to data and applications from nearly any point of access to the Internet, offers businesses a whole new way to cut costs for technical infrastructure, and offers big computer companies a potentially giant market for hardware and services.",Jamais Cascio,dc_internet_files\general_image-1401.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Jamais_Cascio_2015.jpg,"Photo by Jamais Cascio [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"When someone sends you an email, they are knocking on your door. And when you open the attachment, without looking through the peephole to see who it is, you just opened the door and let a stranger into your life, where everything you care about is.",James Comey,dc_e-comms_files\general_image-1835.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/w/index.php?curid=28606868,"Photo by Federal Bureau of Investigation - http://www.fbi.gov/, Public Domain, Link",Public Domain,Data Communications,"https://web.archive.org/web/20131001173911/http://www.fbi.gov/about-us/executives/image/director-james-b.-comey-high-res; http://www.fbi.gov/,",
"The mass culture of childhood right now is astonishingly technical. Little kids know their Unix path punctuation so they can get around the Web, and they know their HTML and stuff. It's pretty shocking to me.",Jaron Lanier,dc_web_development_files\general_image-1111.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Jaron_Lanier_1.jpg,"Photo by vanz [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"I believe that social media's greatest gift is in providing every person the forum to be themselves, speak their heart & soul.",Jeb Dickerson,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"CSS is the design language of the web, and it is not as easy to use as it ought to be, and it can be confusing, especially if you are new to it.",Jeffrey Zeldman,dc_web_development_files\general_image-1114.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Jeffrey_Zeldman_onstage_at_An_Event_Apart.jpg,"Photo by Tony Quartarolo (http://www.zeldman.com/about/) [CC BY 3.0 ], via Wikimedia Commons",CC BY 3.0,Data Communications,http://www.zeldman.com/about/,
"I was in love with HTML and certain that the whole world was about to learn it, ushering in a new era of DIY media, free expression, peace and democracy and human rights worldwide.",Jeffrey Zeldman,dc_web_development_files\general_image-1108.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Jeffrey_Zeldman_onstage_at_An_Event_Apart.jpg,"Photo by Tony Quartarolo (http://www.zeldman.com/about/) [CC BY 3.0 ], via Wikimedia Commons",CC BY 3.0,Data Communications,http://www.zeldman.com/about/,
"Many thought it was a fool's errand - that the browser companies were never going to listen to us. Others argued that, 'Users don't care if you use Web standards.' Well, of course they don't. They just know that your site works better.",Jeffrey Zeldman,dc_w3c_icann_files\general_image-1196.png,Data Comms: W3C & ICANN (dc_w3c_icann.php),https://commons.wikimedia.org/wiki/File:Jeffrey_Zeldman_onstage_at_An_Event_Apart.jpg,"Photo by Tony Quartarolo (http://www.zeldman.com/about/) [CC BY 3.0 ], via Wikimedia Commons",CC BY 3.0,Data Communications,http://www.zeldman.com/about/,
"We said browsers should support the same standards instead of competing to invent new tags and scripting languages. We said designers, developers, and content folks should create one site that was accessible to everyone.",Jeffrey Zeldman,dc_w3c_icann_files\general_image-1193.png,Data Comms: W3C & ICANN (dc_w3c_icann.php),https://commons.wikimedia.org/wiki/File:Jeffrey_Zeldman_onstage_at_An_Event_Apart.jpg,"Photo by Tony Quartarolo (http://www.zeldman.com/about/) [CC BY 3.0 ], via Wikimedia Commons",CC BY 3.0,Data Communications,http://www.zeldman.com/about/,
"The Internet is not just one thing, it's a collection of things — of numerous communications networks that all speak the same digital language.",Jim Clark,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
I'd rather have a search engine or a compiler on a deserted island than a game.,John Carmack,dc_browsing_files\general_image-1294.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:John_Carmack_at_QuakeCon_2009_(extracted).jpg,"Photo by Drew ""Prognar"" Campbell [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Today, Web services is really about developing for the server. What it means to developers is any set of systems services that you make a Web service you to access by any kind of device with a highly interactive client, not just a browser.",John FowlerFlikr,dc_internet_files\general_image-1386.png,Dat Comms: Internet (dc_internet.php),https://www.flickr.com/photos/oracle_images/15226020140,,,Data Communications,,
Describing the Internet as the Network of Networks is like calling the Space Shuttle a thing that flies.,John Lester,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"Among the Internet's many gains for humanity, decreasing paranoia has not been one of them. Anything from that lump under your armpit to what's lurking in the sea - just type it into a search engine and watch your nerves explode.",John Niven,dc_browsing_files\general_image-1300.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:John_Niven_in_2014.jpg,"Photo by Miriam Caputo [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Here is what the world looked like in 2000... there were no plug and play solutions for ecommerce/warehouse management and customer service that could scale... which means that we had to employ 40+ engineers. Cloud computing did not exist, which means that we had to have a server farm and several IT people to insure that the site did not go down.",Julie Wainwright,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"In December 1993 there were like six hundred sites on the internet. They were all like, “I’m at this university and I study advanced mathematical modeling and here’s a picture of my cat.” I thought, Boy, this can’t be expensive or difficult. This guy’s just put up a page about his cat! So I figured out how to put up a home page and launched it in January of 1994. And I introduced myself like I’d seen the sort of professor-y people do it. I said, “Hi, I’m Justin. I’m going to college. I love rock ’n’ roll music and LSD…” I started just writing and using the hypertext structure of the web to tell the story of my life.",Justin Hall,dc_www_files\general_image-1097.png,Data Comms: WWW (dc_www.php),https://commons.wikimedia.org/wiki/File:Justin_Hall_(4).jpg,"Photo by Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Tim Berners-Lee, the 44-year-old English physicist who created the World Wide Web, is precisely the kind of hero that a relatively simple invention with profound social and economic consequences should lay claim to. He is not just creative but democratic, diplomatic, polite and generous with credit and praise.",Katie Hafner,,Data Comms: WWW (dc_www.php),,,,Data Communications,,
"Using the HTTP protocol, computer scientists around the world began making the Internet easier to navigate by inventing point-and-click browsers. One browser in particular, called Mosaic, created in 1993 at the University of Illinois, would help popularize the Web, and therefore the Net, as no software tool had yet done.",Katie Hafner,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
Mobile Messaging is rapidly becoming the primary way users engage socially on mobile.,Keith Teare,dc_e-comms_files\general_image-2592.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Kteareinsapporo.jpg,"Photo by isummitfaceroll (https://www.flickr.com/people/28856561@N08/) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,https://www.flickr.com/people/28856561@N08/,
"… And we began to see trolls, although we didn’t use that term at the time, where there were people who were getting satisfaction out of starting fires or nudging people. They would do that over and over again just because they liked to see what would happen.",Kevin Kelly,dc_netiquette_files\general_image-1195.png,Data Comms: Netiquette (dc_netiquette.php),"https://commons.wikimedia.org/wiki/File:Kevin_Kelly,_Wired_(25163989050).jpg","Photo Christopher Michel [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
Every day is essentially what a blog is about.,Kevin Kelly,dc_e-comms_files\general_image-3240.png,Data Comms: E-Communications (dc_e-comms.php),"https://commons.wikimedia.org/wiki/File:Kevin_Kelly,_Wired_(25163989050).jpg","Photo Christopher Michel [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Essentially, I'm a 21-year-old who's a millionaire through gaming, vlogging, and my online experience. Yo, I'll take it!","KSIPhoto by Tralsatre [CC BY-SA 4.0 ], from Wikimedia Commons",dc_e-comms_files\general_image-3592.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:KSI-Thumb.jpeg,,CC BY-SA 4.0,Data Communications,,
"Basically, our goal is to organize the world's information and to make it universally accessible and useful.",Larry Page,dc_browsing_files\general_image-1304.png,Data Comms: Browsing and Searching (dc_browsing.php),"https://commons.wikimedia.org/wiki/File:Larry_Page_in_the_European_Parliament,_17.06.2009_(cropped).jpg","Photo by Stansfield PL (Wikimedia Commons) [CC BY-SA 3.0 ], via Wikimedia Commons",CC BY-SA 3.0,Data Communications,,
"Blogging is a great way to show your talents and interests to prospective employers, while adding an edge to your resume. If you blog consistently it shows your dedication, passions and creativity - all of which are key attributes employers look for in job candidates.",Lauren Conrad,dc_e-comms_files\general_image-3605.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Lauren_Conrad_2009.jpg,"Photo by Toglenn [CC BY-SA 3.0 or GFDL], from Wikimedia Commons",CC BY-SA 3.0 or GFDL,Data Communications,,
#undernocircumstances shud sum1 feel its ok 2 tlk lik this. You have 140 characters. Use them and stop typing like you're illiterate.,@Lord_Voldemort7,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"Since the advent of the Internet - more recently compounded by blogging - everyone can be a published voice. Any cowardly, anonymous anger-monger can have an audience of thousands. That doesn't make them a journalist any more than my throwing an onion and a few carrots into a pot of boiling water makes me Julia Child.",Lynda Resnick,dc_e-comms_files\general_image-3629.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Lynda_Resnick.jpg,"Photo by The Wonderful Company [CC0], via Wikimedia Commons",CC0,Data Communications,,
I think part of a best friend's job should be to immediately clear your computer history if you die.,"MACKEY MILLER, Mouse Attack 5!!!",,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
"In 2000, when my partner Ben Horowitz was CEO of the first cloud computing company, Loudcloud, the cost of a customer running a basic Internet application was approximately $150,000 a month.",Marc Andreessen,dc_internet_files\general_image-1410.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Marc_Andreessen_(1).jpg,"Photo by Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"On the back end, software programming tools and Internet-based services make it easy to launch new global software-powered start-ups in many industries - without the need to invest in new infrastructure and train new employees.",Marc Andreessen,dc_internet_files\general_image-1389.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Marc_Andreessen_(1).jpg,"Photo by Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Remember this is in early ’94. The prevailing view, in the business world and in the world at large, was the internet is not a commercial medium and will never be a commercial medium. It’s not for consumers, ordinary people won’t use it, and there’s no money to be made on it.",Marc Andreessen,dc_internet_files\general_image-1389.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:Marc_Andreessen_(1).jpg,"Photo by Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,yes
"In the Information Age, the first step to sanity is FILTERING. Filter the information: extract for knowledge. Filter first for substance. Filter second for significance. These filters protect against advertising. Filter third for reliability. This filter protects against politicians. Filter fourth for completeness. This filter protects against the media.","Marc Stiegler, Davids Sling",,Data Comms: Evaluating web sites (dc_evaluating_sites.php),,,,Data Communications,,
Blogs are whatever we make them. Defining ‘Blog’ is a fool’s errand.,Michael Conniff,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"With the evolution of social media that includes blogging, Facebook, and Twitter, who and how information is delivered has changed tremendously. The landscape for news is a different place, and people have to accept that.",Michael Eric Dyson,dc_e-comms_files\general_image-2988.png,Data Comms: E-Communications (dc_e-comms.php),"https://commons.wikimedia.org/wiki/File:Michael_Eric_Dyson_at_Martin_Luther_King,_Jr._Memorial_4_April_2012_crop.jpg","Photo =by Medill DC (Flickr: IMG_8836) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"The 'World Wide Web', as people quaintly called the Internet in 1996, was more or less made up of text. There was no YouTube. There was no Facebook. There was, however, Usenet, a loose and difficult-to-navigate assortment of message boards.",Michelle Dean,,Data Comms: WWW (dc_www.php),,,,Data Communications,,
We found a way to make things look great to the human eye through the window of a graphical web browser without worrying about what everything looked like under the hood.,Mike Davidson,,Data Comms: Browsing and Searching (dc_browsing.php),,,,Data Communications,,
Writing old school HTML code was never very much fun but now it's getting downright tedious for most people.,Mike Davidson,,Data Comms: Web Development (dc_web_development.php),,,,Data Communications,,
Getting information off the Internet is like taking a drink from a fire hydrant.,Mitchell Kapor,dc_evaluating_sites_files\general_image-1074.png,Data Comms: Evaluating web sites (dc_evaluating_sites.php); Dat Comms: Internet (dc_internet.php); Data Comms: WWW (dc_www.php),,"Photo by Mitch Kapor - See page for author [Public domain], via Wikimedia Commons",Public domain,Data Communications,,
Social media can be dangerous. People hide behind their computers and write negative things,Mo Farah,dc_e-comms_files\general_image-2976.png,Data Comms: E-Communications (dc_e-comms.php),https://id.wikipedia.org/wiki/Berkas:MoPodiumRio2016.png,Photo from Flikr via Wikipedia CC2 Attribution License,Attribution License,Data Communications,,
"Emails we can read, say no to 'send a receipt', mark as unread, categorise, label and put in a folder whilst drinking tea and thinking about other things. It's hard work making the right noises and facial expressions in response to an in-person reminder.",Neil Cottingham,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"Google can bring you back 100,000 answers. A librarian can bring you back the right one.",Neil Gaiman,dc_browsing_files\general_image-1661.png,Data Comms: Browsing and Searching (dc_browsing.php); unused quotes (quotes.html),"https://commons.wikimedia.org/wiki/File:Gaiman,_Neil_(2007).jpg","Photo by pinguino k from North Hollywood, USA (Neil Gaiman) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,"Data Communications, General / Site",,
Twitter today is one person talking to a lot of people—not a conversation. And I don’t think that we as human beings were designed to enable 320 million people to have a conversation together.,Nick Bilton,dc_e-comms_files\general_image-3751.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Nick_Bilton_(15267480651)_(cropped).jpg,"Photo Christopher Michel [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Skype is easy enough to use so that people don't need to be tech savvy - a lot of users just want to communicate with their friends and family, and they find this is the easiest, cheapest way. If you can use a Web browser, you can use Skype.",Niklas Zennstrom,dc_e-comms_files\general_image-3583.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Niklas_Zennstr%C3%B6m_2008.jpg,"Photo by Eirik Solheim (Flickr: Niklas Zennström) [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
The major advances in speed of communication and ability to interact took place more than a century ago. The shift from sailing ships to telegraph was far more radical than that from telephone to email!,Noam Chomsky,dc_e-comms_files\general_image-1838.png,Data Comms: E-Communications (dc_e-comms.php),"https://commons.wikimedia.org/wiki/File:Noam_Chomsky,_2004.jpg","Photo by Duncan Rawlinson [CC BY 2.0], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"While in the early days of networks, growth was limited by slowness and cost at numerous points - expensive telephone connections, computers that crashed, browsers that didn't work - the rise of the smartphone has essentially changed all that.",Om Malik,dc_types_of_networks_files\general_image-73.png,Data Comms: Types of Networks (dc_types_of_networks.html),https://commons.wikimedia.org/wiki/File:Om_Malik_2015.jpg,"Photo by Cmichel67 [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
"A million years ago - some hairy bastard daubed a horse on the wall of his cave, he saw it, he drew it - well done! Flash forward: 'Hello, welcome to my vlog. Today I bought a plum.""","Patrick Marber, Don Juan in Soho: After Molière",,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"Internet: absolute communication, absolute isolation.",Paul Carvel,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"Instead of having to visit 15 different places to get your weather, sports, favorite photos, latest gossip or latest political debates, you just go to to the RSS aggregator and see the highlights of all those websites combined into a single window.",Paul Gil,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"When text messaging first came out, you could only text within your network, whatever operator you had. It seems silly now, but once those walls came down, all sorts of applications and services were built on top of that. It ended up being good for everybody.",Peggy Johnson,dc_e-comms_files\general_image-3000.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Peggy_Johnson_at_the_NCAPEC_Women%27s_Event.jpg,"Photo by East Asia and Pacific Media Hub U.S. Department of State (Secretary Kerry Speaks at the NCAPEC Women's Event) [Public domain], via Wikimedia Commons",Public domain,Data Communications,,
My favorite thing about the Internet is that you get to go into the private world of real creeps without having to smell them.,Penn Jillett,dc_internet_files\general_image-1797.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Penn-Jillette-8608.jpg,"Photo by Loadmaster (David R. Tribble) This image was made by Loadmaster (David R. Tribble)Email the author: David R. TribbleAlso see my personal gallery at Google Photos [CC BY-SA 3.0 or GFDL], from Wikimedia Commons",CC BY-SA 3.0 or GFDL,Data Communications,,
"If you look back over the history of computing, it started as mainframes or terminals. As PCs or work stations became prevalent, computing moved to the edge, and we had applications that took advantage of edge computing and the CPU and processing power at the edge. Cloud computing brought things back to the center.",Peter Levine,dc_internet_files\general_image-1395.png,Dat Comms: Internet (dc_internet.php),https://commons.wikimedia.org/wiki/File:Peter_Levine_(DOD)_Headshot.JPG,"Photo by Monica A. King [Public domain], via Wikimedia Commons",Public domain,Data Communications,,
"In our fibre-optic world of tweets and tablets, we are more conscious of the world around us. The technicolour violence and humanitarian abuses of today are just a flick of a switch away. In our homes, on the train, in our coffee shops, we see it, we feel it, we know about it. All of us. All of the time. Human suffering is visible, constantly.",Peter Maurer,dc_communications_media_files\general_image-1569.png,Data Comms: Media (dc_communications_media.php),https://commons.wikimedia.org/wiki/File:Petermaurer.jpg,Photo Wikimedia Commons,,Data Communications,,
"What troubles me is the Internet and the electronic technology revolution. Shyness is fueled in part by so many people spending huge amounts of time alone, isolated on e-mail, in chat rooms, which reduces their face-to-face contact with other people.",Philip Zimbardo,dc_e-comms_files\general_image-1084.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Philip_Zimbardo_20th_JIDFF.jpg,"Photo by Mfdfjihlava [CC BY-SA 4.0], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
"I think when I first realized that something interesting had happened was probably in 1994. There was a 25th anniversary of the ARPANET celebration and... somebody asked the question, 'Where did email come from?' I remembered that I had done this little program back in 1971. People looked back and nobody could find anything that predated it.",Ray Tomlinson,dc_e-comms_files\general_image-1832.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Ray_Tomlinson.jpg,"Photo by Andreu Veà, WiWiW.org (Andreu Veà, WiWiW.org) [CC BY-SA 3.0], via Wikimedia Commons",CC BY-SA 3.0,Data Communications,,
I love Twitter… It’s like owning your own newspaper—without the losses.,"@RealDonaldTrumpGage Skidmore [CC BY-SA 2.0 ], via Wikimedia Commons",dc_e-comms_files\general_image-3748.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Donald_Trump_(29496131773).jpg,,CC BY-SA 2.0,Data Communications,,
"When Tim Berners-Lee invented the computer code that led to the creation of the World Wide Web in 1990, he did not try to patent or charge fees for the use of his technology.",Rebecca MacKinnon,dc_www_files\general_image-2443.png,Data Comms: WWW (dc_www.php),https://commons.wikimedia.org/wiki/File:Rebecca_MacKinnon_20100508.jpg,"Photo by Joi Ito (Rebecca MacKinnon) [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"Fibre optic is becoming like electricity. If you look at how electricity spread around the globe 100 years ago, that's what's happening now.",Reed Hastings,dc_communications_media_files\general_image-1566.png,Data Comms: Media (dc_communications_media.php),"https://commons.wikimedia.org/wiki/File:Reed_Hastings,_Web_2.0_Conference.jpg",Photo Wikimedia Commons,,Data Communications,,
"It turns out that all Netflix streaming peak on Saturday night can fit inside a single fiber optic, which is the size of one human hair.",Reed Hastings,dc_communications_media_files\general_image-1563.png,Data Comms: Media (dc_communications_media.php),"https://commons.wikimedia.org/wiki/File:Reed_Hastings,_Web_2.0_Conference.jpg",Photo Wikimedia Commons,,Data Communications,,
"It's ironic, but true, that in this age of electronic communications, personal interaction is becoming more important than ever.",Regis McKenna,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"This whole blogging stuff has been bugging me for years. Talk about no filter on things. People feel free to do and say whatever they want with no vetting, with no editing, with nothing.",Rick Moranis,dc_e-comms_files\general_image-3601.png,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"A blogger is constantly looking over his shoulder, for fear that he is not being followed.",Robert Brault,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
Sometimes I imagine a get-together where I introduce my family to my blogger friends and my blogger friends introduce my family to me.,Robert Brault,,Data Comms: E-Communications (dc_e-comms.php),,,,Data Communications,,
"We're teaming up with a major Hollywood studio, and we're making a movie called 'Copper.' It's set on Mars in the 24th century. By then we've got 27 billion people in the world, copper is the world's most valuable metal because everything runs on electricity, and there's no more burning of hydrocarbons.",Robert Friedland,,Data Comms: Media (dc_communications_media.php),,,,Data Communications,,
"We've heard that a million monkeys at a million keyboards could produce the complete works of Shakespeare; now, thanks to the Internet, we know that is not true.",Robert Wilensky,,Dat Comms: Internet (dc_internet.php),,,,Data Communications,,
"I love the web, but man, I look at my browser, and there are, like, twenty tabs up there, all jostling for space and time, all framed by a mosaic of other apps, other work, other entertainment... so even when I really am paying attention to something on the web, there's this peripheral haze.",Robin Sloan,dc_browsing_files\general_image-1197.png,Data Comms: Browsing and Searching (dc_browsing.php),https://www.flickr.com/photos/rs/1421292912/,Photo from Flikr,,Data Communications,,
"Headlines, in a way, are what mislead you because bad news is a headline, and gradual improvement is not.",Ryan Holiday,dc_e-comms_files\general_image-3781.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:RyanHoliday.jpg,"Photo by Ryan_Holiday [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"The primary occupational hazard of blogging is this: it's easier when you yourself take on some of the traits of insanity. It's a job that requires the doer to be selfish, self-absorbed, and superficial.",Ryan Holiday,dc_e-comms_files\general_image-3611.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:RyanHoliday.jpg,"Photo by Ryan_Holiday [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"The process for finding, creating, and consuming information has fundamentally changed with the advent of the web and the rise of blogging.",Ryan Holiday,dc_e-comms_files\general_image-3633.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:RyanHoliday.jpg,"Photo by Ryan_Holiday [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"I get email, therefore I am.",Scott Adams,dc_e-comms_files\general_image-3784.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Scott_Adams.jpg,"Photo by Tricia (Scott Adams closing keynote) [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"Some say Google is God. Others say Google is Satan. But if they think Google is too powerful, remember that with search engines unlike other companies, all it takes is a single click to go to another search engine.",Sergey Brin,dc_browsing_files\general_image-1279.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:Sergey_Brin.JPG,"Photo by enlewof (Me and Sergey Brin) [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
Imagine that everything you are typing is being read by the person you are applying to for your first job. Imagine that it's all going to be seen by your parents and your grandparents and your grandchildren as well.,Sir Tim Berners-Lee,dc_netiquette_files\general_image-1207.png,Data Comms: Netiquette (dc_netiquette.php),https://commons.wikimedia.org/wiki/File:Sir_Tim_Berners-Lee.jpg,"Photo by Paul Clarke [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
"In '93 to '94, every browser had its own flavor of HTML. So it was very difficult to know what you could put in a Web page and reliably have most of your readership see it.",Sir Tim Berners-Lee,dc_w3c_icann_files\general_image-1190.png,Data Comms: W3C & ICANN (dc_w3c_icann.php),https://commons.wikimedia.org/wiki/File:Sir_Tim_Berners-Lee.jpg,"Photo by Paul Clarke [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
"Web pages are designed for people. For the Semantic Web, we need to look at existing databases.",Sir Tim Berners-Lee,dc_web_development_files\general_image-1126.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Sir_Tim_Berners-Lee.jpg,"Photo by Paul Clarke [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
Web users ultimately want to get at data quickly and easily. They don't care as much about attractive sites and pretty design.,Sir Tim Berners-Lee,dc_web_development_files\general_image-1117.png,Data Comms: Web Development (dc_web_development.php),https://commons.wikimedia.org/wiki/File:Sir_Tim_Berners-Lee.jpg,"Photo by Paul Clarke [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
You affect the world by what you browse.,Sir Tim Berners-Lee,dc_browsing_files\general_image-1170.png,Data Comms: Browsing and Searching (dc_browsing.php),https://commons.wikimedia.org/wiki/File:Sir_Tim_Berners-Lee.jpg,"Photo by Paul Clarke [CC BY-SA 4.0 ], from Wikimedia Commons",CC BY-SA 4.0,Data Communications,,
The most compelling reason for most people to buy a computer for the home will be to link it to a nationwide communications network.,Steve Jobs,dc_types_of_networks_files\general_image-76.png,Data Comms: Types of Networks (dc_types_of_networks.html),https://commons.wikimedia.org/wiki/File:Steve_Jobs_Headshot_2010-CROP.jpg,"Photo by Matthew Yohe [CC BY-SA 3.0 or GFDL], via Wikimedia Commons",CC BY-SA 3.0 or GFDL,Data Communications,https://en.wikipedia.org/wiki/User:Matt_Yohe,
Wifi was never supposed to be a big thing and certainly not a thing that would become as vital to a home as indoor plumbing.,Steven Levy,dc_communications_media_files\general_image-1572.png,Data Comms: Media (dc_communications_media.php),https://commons.wikimedia.org/wiki/File:Steven_Levy_(1).jpg,"Photo by Joi [CC BY 2.0 ], via Wikimedia Commons",CC BY 2.0,Data Communications,,
"People learned how to deal with trolls. If you respond to them, they will make the flame even brighter.",Stewart Brand,dc_netiquette_files\general_image-1201.png,Data Comms: Netiquette (dc_netiquette.php),"https://commons.wikimedia.org/wiki/File:Stewart_Brand_-Sausalito,_California,_USA_-at_home-14Dec2010.jpg","Photo by cellanr (Stewart BrandUploaded by Snowmanradio) [CC BY-SA 2.0 ], via Wikimedia Commons",CC BY-SA 2.0,Data Communications,,
"Email has the virtue - sounds like a bad thing, but it's the virtue of being the lowest common denominator messaging protocol. Everyone can have it. It can cross organizational boundaries. No one owns it. It's not some particular company's platform.",Stewart Butterfield,dc_e-comms_files\general_image-1841.png,Data Comms: E-Communications (dc_e-comms.php),https://commons.wikimedia.org/wiki/File:Stewart_b.jpg,Photo from Wikimedia Commons,,Data Communications,,
